,repository_name,language
0,.github,
1,aegisthus,Java
2,af_tsa,C
3,aminator,Python
4,archaius,Java
5,asgard,Groovy
6,astyanax,Java
7,atlas,Scala
8,atlas-docs,Python
9,aws-autoscaling,Shell
10,awsobjectmapper,Groovy
11,batch_request_api,Ruby
12,batch_request_client,Ruby
13,bbparse,C
14,bettertls,Go
15,blesk,JavaScript
16,bless,Python
17,blitz4j,Java
18,bpftop,C
19,brutal,Python
20,cachemover,C++
21,CassJMeter,Java
22,chaosmonkey,Go
23,Cloud-Prize,
24,clove,Python
25,codec_compare,Python
26,concurrency-limits,Java
27,conductor,Java
28,conductor-community,Java
29,conductor-docs,Python
30,conductor-ui,JavaScript
31,consoleme,Python
32,curator,Java
33,denominator,Java
34,derand,Java
35,dgs,HTML
36,dgs-codegen,Kotlin
37,dgs-examples-java,Java
38,dgs-examples-java-2.7,Java
39,dgs-examples-java.latest,Java
40,dgs-examples-java16,Java
41,dgs-examples-kotlin,Kotlin
42,dgs-examples-kotlin-2.7,Kotlin
43,dgs-examples-webflux,Java
44,dgs-federation-example,Kotlin
45,dgs-framework,Kotlin
46,dgs-intellij-plugin,Kotlin
47,dial-reference,C
48,dispatch,Python
49,dispatch-docker,Shell
50,dyno,Java
51,dyno-queues,Java
52,dynomite,C
53,dynomite-manager,Java
54,e2nest,Python
55,eclipse-jifa,Java
56,eclipse-mat,
57,edda,Scala
58,edda-client,Java
59,element-server,JavaScript
60,ember-batch-request,JavaScript
61,ember-nf-graph,JavaScript
62,ember-nf-graph-examples,JavaScript
63,eslint-config-netflix,Shell
64,eslint-plugin-x-element,JavaScript
65,eureka,Java
66,eureka-ui,JavaScript
67,EVCache,Java
68,fabricator,Java
69,falcor,JavaScript
70,falcor-datasource-chainer,JavaScript
71,falcor-express,JavaScript
72,falcor-express-demo,HTML
73,falcor-hapi,JavaScript
74,falcor-hapi-demo,HTML
75,falcor-http-datasource,JavaScript
76,falcor-json-graph,JavaScript
77,falcor-observable,JavaScript
78,falcor-path-syntax,JavaScript
79,falcor-path-utils,JavaScript
80,falcor-restify,JavaScript
81,falcor-restify-demo,HTML
82,falcor-router,JavaScript
83,falcor-router-demo,JavaScript
84,fast_jsonapi,Ruby
85,Fenzo,Java
86,Fido,C#
87,flamescope,Python
88,frigga,Java
89,genie,Java
90,glisten,Groovy
91,go-env,Go
92,go-expect,Go
93,go-iomux,Go
94,governator,Java
95,gradle-template,Java
96,hal-9001,Go
97,hollow,Java
98,hollow-reference-implementation,Java
99,hubcommander,Python
100,Hystrix,Java
101,iceberg,Java
102,iceberg-python,Python
103,iep,Java
104,iep-shadow,
105,image_compression_comparison,Python
106,inviso,JavaScript
107,karyon,Java
108,kubernetes,Go
109,lemur,Python
110,lemur-docker,Python
111,libamicontained,Rust
112,Lipstick,JavaScript
113,maestro,Java
114,mantis,Java
115,mantis-api,Java
116,mantis-cli,JavaScript
117,mantis-connectors,Java
118,mantis-control-plane,Java
119,mantis-examples,Java
120,mantis-gradle-plugin,Groovy
121,mantis-helm,Smarty
122,mantis-mql,Clojure
123,mantis-rxcontrol,Java
124,mantis-rxnetty,
125,mantis-source-jobs,Java
126,mantis-ui,TypeScript
127,matchcut,Jupyter Notebook
128,metacat,Java
129,metaflow,Python
130,metaflow-docs,JavaScript
131,metaflow-extensions-template,Python
132,metaflow-nflx-extensions,Python
133,metaflow-service,Python
134,metaflow-tools,HCL
135,metaflow-ui,TypeScript
136,metrics-client-go,Go
137,msl,C++
138,ndbench,HTML
139,nerror,JavaScript
140,netflix-commons,Java
141,netflix-graph,Java
142,netflix.github.com,HTML
143,netflixoss-npm-build-infrastructure,
144,nf-data-explorer,TypeScript
145,nflx-geofeed,
146,nflxprofile,Python
147,NfWebCrypto,C++
148,Nicobar,Java
149,ocelli,Java
150,octodns,
151,octodns-ns1,Python
152,octodns-route53,
153,octodns-ultra,Python
154,OpenVPCal,Python
155,osstracker,Scala
156,p2plab,Go
157,photon,Java
158,PigPen,Clojure
159,pollyjs,JavaScript
160,polynote,HTML
161,Prana,Java
162,Priam,Java
163,probnik,TypeScript
164,pygenie,Python
165,pytheas,JavaScript
166,q,Java
167,Raigad,Java
168,ReactiveLab,Java
169,reactivesocket-examples,Java
170,read_bbrlog,C
171,recipes-rss,Java
172,rend,Go
173,rend-http,Go
174,rend-lmdb,Go
175,repokid,Python
176,restful-jsonapi,Ruby
177,ribbon,Java
178,runtime-health,Java
179,rx-aws-java-sdk,Java
180,s3mper,Java
181,security-bulletins,
182,security_monkey,Python
183,servo,Java
184,sherlock,R
185,signal-wrapper,Go
186,SimianArmy,Java
187,sleepy-puppy-docker,Dockerfile
188,spark,Scala
189,spectator,Java
190,spectator-cpp,C++
191,spectator-go,Go
192,spectator-go-runtime-metrics,Go
193,spectator-js,JavaScript
194,spectator-py,Python
195,spectator-py-runtime-metrics,Python
196,spectator-rb,Ruby
197,staash,Java
198,sureal,Python
199,suro,Java
200,Surus,Java
201,taskintrospection,C
202,tcplog_dumper,C
203,techreports,
204,titus,
205,titus-api-definitions,Makefile
206,titus-control-plane,Java
207,titus-executor,Go
208,titus-kube-common,Go
209,tslint-config-netflix,JavaScript
210,Turbine,Java
211,unleash,JavaScript
212,user2020-metaflow-tutorial,R
213,vector,JavaScript
214,vectorflow,D
215,videoannotator,Jupyter Notebook
216,virtual-kubelet,Go
217,vizceral,JavaScript
218,vizceral-component,JavaScript
219,vizceral-example,JavaScript
220,vizceral-react,JavaScript
221,vmaf,Python
222,vmaf_resource,
223,vp9-dash,
224,webpack-parse-query,JavaScript
225,weep,Go
226,Workflowable,Ruby
227,x-element,JavaScript
228,x-test,JavaScript
229,yetch,JavaScript
230,zeno,Java
231,zuul,Java
